,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
55,3539980173,20.0,3,AMD SAPPHIRE Dota PIT,5690,Vici Gaming,11.0,OG,0.0,40,33,1,107,3,78,85,38,43,84,112,51,76,57,88,65,45,13,9,35,26,29,81,41,20,1
56,3540226851,20.0,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Fnatic,7.0,21,32,0,62,3,84,38,86,31,112,47,85,7,12,16,88,65,45,92,37,94,78,1,51,73,0
57,3540395141,20.0,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Fnatic,7.0,23,15,0,62,3,84,38,86,31,112,53,60,92,94,15,12,74,27,7,39,109,65,70,29,36,1
58,3540529925,20.0,3,AMD SAPPHIRE Dota PIT,5690,Fnatic,7.0,Virtus.pro,18.0,29,32,0,38,3,31,53,112,60,86,85,71,78,36,94,39,65,27,68,13,12,4,106,18,44,0
59,3540681433,20.0,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Vici Gaming,11.0,30,50,1,97,60,31,38,85,3,84,112,14,78,47,65,35,76,13,26,1,4,49,51,9,57,0
60,3540802315,20.0,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Vici Gaming,11.0,11,36,0,60,3,78,112,47,97,38,30,69,85,31,12,27,72,58,68,39,13,1,63,54,109,0
61,3541263903,20.0,12,Dota 2 Professional League 2016,4920,Newbee.Young,47.0,ForTheDream,30.0,28,19,1,88,31,62,38,3,60,112,51,20,85,65,11,13,35,39,16,64,12,9,1,25,40,1
62,3541321154,20.0,12,Dota 2 Professional League 2016,4920,Newbee.Young,47.0,ForTheDream,30.0,24,46,0,85,88,38,107,31,40,3,51,112,9,62,12,7,81,69,68,11,54,45,4,60,109,0
63,3541427293,20.0,12,Dota 2 Professional League 2016,4920,Newbee.Young,47.0,ForTheDream,30.0,26,37,1,60,31,9,85,3,38,112,88,68,62,16,12,4,13,39,54,69,28,46,20,17,81,0
64,3541524780,20.0,12,Dota 2 Professional League 2016,4920,Team VDuoBao,81.0,Rock Gaming,59.0,9,26,0,9,3,107,54,112,60,13,88,40,51,86,85,6,1,92,109,65,20,104,35,78,93,0
65,3541607627,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,Team VDuoBao,81.0,31,19,0,3,9,60,107,13,85,51,16,64,54,68,12,65,109,20,28,44,75,39,40,47,106,1
66,3541757900,20.0,12,Dota 2 Professional League 2016,4920,Vici Gaming Potential,58.0,Team Waooo,79.0,27,4,0,92,3,107,62,112,88,28,51,39,85,47,54,44,12,9,13,87,1,75,69,40,60,1
67,3541837683,20.0,12,Dota 2 Professional League 2016,4920,Team Waooo,79.0,Vici Gaming Potential,58.0,3,21,0,62,51,88,39,3,92,85,9,28,112,60,44,13,20,64,43,12,1,65,50,16,78,0
68,3541936427,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,ForTheDream,30.0,23,9,1,9,3,28,51,85,31,13,26,78,88,12,60,30,47,54,112,90,63,43,40,46,39,1
