"match_id","win","hero_id","account_id","leaguename"
3174669160,true,51,38628747,"EPICENTER: Moscow Season 2"
3174597350,false,3,86974263,"EPICENTER: Moscow Season 2"
3174597350,false,106,221666230,"EPICENTER: Moscow Season 2"
3174597350,false,70,108452107,"EPICENTER: Moscow Season 2"
3174597350,false,83,236858633,"EPICENTER: Moscow Season 2"
3174597350,false,98,10366616,"EPICENTER: Moscow Season 2"
3174597350,true,5,87382579,"EPICENTER: Moscow Season 2"
3174597350,true,84,103735745,"EPICENTER: Moscow Season 2"
3174597350,true,8,86725175,"EPICENTER: Moscow Season 2"
3174597350,true,76,86700461,"EPICENTER: Moscow Season 2"
3174597350,true,53,38628747,"EPICENTER: Moscow Season 2"
3174498935,true,27,87382579,"EPICENTER: Moscow Season 2"
3174498935,true,100,103735745,"EPICENTER: Moscow Season 2"
3174498935,true,77,86725175,"EPICENTER: Moscow Season 2"
3174498935,true,11,86700461,"EPICENTER: Moscow Season 2"
3174498935,true,51,38628747,"EPICENTER: Moscow Season 2"
3174498935,false,104,49317728,"EPICENTER: Moscow Season 2"
3174498935,false,99,171775246,"EPICENTER: Moscow Season 2"
3174498935,false,37,85805514,"EPICENTER: Moscow Season 2"
3174498935,false,71,50828662,"EPICENTER: Moscow Season 2"
3174498935,false,98,84429681,"EPICENTER: Moscow Season 2"
3174458572,false,16,49317728,"EPICENTER: Moscow Season 2"
3174458572,false,106,171775246,"EPICENTER: Moscow Season 2"
3174458572,false,50,85805514,"EPICENTER: Moscow Season 2"
3174458572,false,21,50828662,"EPICENTER: Moscow Season 2"
3174458572,false,93,84429681,"EPICENTER: Moscow Season 2"
3174458572,true,62,87382579,"EPICENTER: Moscow Season 2"
3174458572,true,90,103735745,"EPICENTER: Moscow Season 2"
3174458572,true,95,86725175,"EPICENTER: Moscow Season 2"
3174458572,true,99,86700461,"EPICENTER: Moscow Season 2"
3174458572,true,38,38628747,"EPICENTER: Moscow Season 2"
3174058622,true,104,86785083,"EPICENTER: Moscow Season 2"
3174058622,true,62,91460772,"EPICENTER: Moscow Season 2"
3174058622,true,70,87586992,"EPICENTER: Moscow Season 2"
3174058622,true,54,123051238,"EPICENTER: Moscow Season 2"
3174058622,true,37,89269794,"EPICENTER: Moscow Season 2"
3174058622,false,5,57516313,"EPICENTER: Moscow Season 2"
3174058622,false,110,26356855,"EPICENTER: Moscow Season 2"
3174058622,false,106,121769650,"EPICENTER: Moscow Season 2"
3174058622,false,80,62533910,"EPICENTER: Moscow Season 2"
3174058622,false,102,92367063,"EPICENTER: Moscow Season 2"
3173967572,false,5,57516313,"EPICENTER: Moscow Season 2"
3173967572,false,28,26356855,"EPICENTER: Moscow Season 2"
3173967572,false,25,121769650,"EPICENTER: Moscow Season 2"
3173967572,false,8,62533910,"EPICENTER: Moscow Season 2"
3173967572,false,69,92367063,"EPICENTER: Moscow Season 2"
3173967572,true,88,86785083,"EPICENTER: Moscow Season 2"
3173967572,true,83,91460772,"EPICENTER: Moscow Season 2"
