,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win
263,3000445781,1487201089,3.0,22,3722973.0,6,True
264,3000470960,1487203427,3.0,27,3722973.0,56,False
265,3002149057,1487272443,3720366.0,30,3.0,12,True
266,3002208064,1487275296,3.0,32,3720366.0,25,True
267,3002264249,1487278644,3720366.0,22,3.0,37,False
268,3002329132,1487283044,3.0,12,3722973.0,30,False
269,3002369769,1487286250,3.0,34,3722973.0,11,True
270,3002405401,1487289348,3.0,26,3722973.0,20,True
271,3004059886,1487352968,3.0,9,2586976.0,28,False
272,3004155377,1487356346,2586976.0,16,3.0,39,False
273,3004233472,1487359426,2586976.0,31,3.0,22,True
274,3004301483,1487363766,3.0,23,2586976.0,45,False
275,3032935500,1488568007,3.0,48,39.0,35,True
276,3033038349,1488572473,3.0,6,39.0,30,False
277,3033099678,1488575538,3.0,15,39.0,27,False
278,3033148738,1488578346,39.0,24,3.0,20,True
279,3045423864,1489111211,3326875.0,26,3659536.0,15,True
280,3045424107,1489111228,2581813.0,41,2659468.0,23,True
281,3045498557,1489116112,3586078.0,46,2108395.0,26,True
282,3045520943,1489117502,1105664.0,21,370775.0,10,True
283,3045588750,1489121236,3326875.0,40,543897.0,26,True
284,3045590815,1489121342,370775.0,20,2659468.0,32,False
285,3045682599,1489125933,2581813.0,16,2108395.0,23,False
286,3045690961,1489126312,2659468.0,25,543897.0,29,False
287,3045758754,1489129368,3659536.0,27,3586078.0,20,True
288,3045791892,1489130776,3931120.0,18,1105664.0,7,True
289,3045877131,1489134247,543897.0,26,3586078.0,13,True
290,3045880650,1489134378,2581813.0,4,3659536.0,31,False
291,3045925133,1489136106,2790766.0,45,2006913.0,30,True
292,3045933663,1489136430,3152713.0,19,2533075.0,30,False
293,3045936211,1489136521,3848449.0,1,1883502.0,18,False
294,3045939311,1489136641,3729377.0,17,2246141.0,8,True
295,3045974572,1489137976,1105664.0,9,3326875.0,35,False
296,3045976946,1489138067,2108395.0,37,2659468.0,20,True
297,3046015992,1489139560,1964407.0,26,46.0,29,False
298,3046042387,1489140541,111474.0,40,3963460.0,15,True
299,3046046579,1489140693,1838315.0,33,2552670.0,12,True
300,3046074799,1489141738,543897.0,31,2581813.0,6,True
301,3046081228,1489141969,3332295.0,10,2621843.0,10,False
302,3046093297,1489142408,370775.0,12,3931120.0,27,False
303,3046131986,1489143768,3763625.0,7,36.0,20,False
304,3046141297,1489144091,3722485.0,16,2537636.0,8,True
305,3046163418,1489144830,2552670.0,23,3729377.0,36,False
306,3046178890,1489145340,46.0,30,2006913.0,11,True
307,3046197499,1489145941,3326875.0,25,3931120.0,10,True
308,3046202305,1489146096,3586078.0,43,1105664.0,16,True
309,3046206994,1489146244,1964407.0,10,3763625.0,28,False
310,3046232923,1489147029,2246141.0,8,2537636.0,45,False
311,3046301476,1489149032,3332295.0,26,3848449.0,14,True
312,3046306403,1489149174,2533075.0,22,3963460.0,9,True
313,3046318564,1489149507,2108395.0,30,370775.0,11,True
314,3046328361,1489149771,2659468.0,12,3659536.0,33,False
315,3046341244,1489150131,1838315.0,13,111474.0,24,False
316,3046345475,1489150245,1883502.0,24,2621843.0,17,True
317,3046431309,1489152548,3152713.0,12,3722485.0,29,False
318,3046440970,1489152805,1964407.0,34,3332295.0,15,True
319,3046452203,1489153102,2790766.0,21,36.0,2,True
320,3046496478,1489154260,3659536.0,29,2108395.0,13,True
321,3046497841,1489154296,3931120.0,17,3586078.0,28,False
322,3046511778,1489154668,2533075.0,25,111474.0,35,False
323,3046557945,1489155858,3722485.0,33,3963460.0,13,True
324,3046590972,1489156732,2621843.0,41,36.0,14,True
325,3046604146,1489157080,2790766.0,32,3763625.0,11,True
326,3046704783,1489159833,3152713.0,46,2246141.0,16,True
327,3046719189,1489160240,3729377.0,12,1838315.0,24,False
328,3046730723,1489160559,3763625.0,16,2621843.0,32,False
329,3046758563,1489161358,46.0,19,1883502.0,29,False
330,3046767664,1489161632,2672298.0,38,3414796.0,15,True
331,3046834934,1489163691,2537636.0,43,2552670.0,18,True
332,3046855882,1489164354,111474.0,5,3729377.0,20,False
333,3046858029,1489164425,3705786.0,17,2622695.0,4,True
334,3046890655,1489165505,3477208.0,35,720700.0,13,True
335,3046898789,1489165765,3848449.0,24,2006913.0,38,False
336,3046933233,1489166935,1633432.0,21,3963922.0,12,True
337,3046987063,1489168857,3152713.0,25,2552670.0,14,True
338,3046987954,1489168890,3.0,24,2059672.0,4,True
339,3046994814,1489169141,1838315.0,25,2537636.0,12,True
340,3046996586,1489169204,3931002.0,11,3214108.0,31,False
341,3047016068,1489169930,1964407.0,31,2006913.0,39,False
342,3047017541,1489169982,2622695.0,18,2672298.0,35,False
343,3047026684,1489170324,1883502.0,29,36.0,16,True
344,3047032755,1489170563,2967569.0,16,3580606.0,25,False
345,3047079817,1489172454,3722485.0,25,2533075.0,8,True
346,3047085084,1489172677,3963460.0,44,2246141.0,42,True
347,3047090764,1489172917,3.0,26,1905619.0,16,True
348,3047092972,1489173006,3931002.0,21,2701329.0,24,False
349,3047118411,1489174458,2790766.0,18,3332295.0,27,False
350,3047134927,1489175241,46.0,16,3848449.0,9,True
351,3047143659,1489175659,3722485.0,14,111474.0,37,False
352,3047147444,1489175844,3414796.0,26,3580606.0,23,False
353,3047150331,1489175983,720700.0,44,2967569.0,39,True
354,3047156759,1489176298,3722973.0,21,2059672.0,7,True
355,3047175894,1489177241,1905619.0,9,2701329.0,18,False
356,3047184637,1489177664,3152713.0,4,1838315.0,24,False
357,3047202406,1489178559,2790766.0,15,2621843.0,34,False
358,3047210635,1489178989,3848449.0,47,3763625.0,14,True
359,3047222869,1489179639,3214108.0,28,3722973.0,3,True
360,3047226386,1489179827,3477208.0,24,3705786.0,10,True
361,3047238742,1489180507,3.0,34,3931002.0,33,True
362,3047240373,1489180599,2672298.0,17,3963922.0,3,True
363,3047284243,1489183209,3477208.0,10,1633432.0,22,False
364,3047288064,1489183446,2967569.0,15,3414796.0,6,True
365,3047293985,1489183831,2059672.0,42,3931002.0,41,False
366,3047305253,1489184557,3214108.0,21,1905619.0,11,True
367,3047354283,1489188079,2622695.0,13,1633432.0,33,False
368,3047389813,1489190797,720700.0,17,3705786.0,28,False
369,3047431813,1489193840,1633432.0,27,3705786.0,10,True
370,3047446598,1489194842,3414796.0,38,720700.0,6,True
371,3047478260,1489196798,3580606.0,20,2622695.0,20,True
372,3047492471,1489197596,3331948.0,22,3967697.0,5,True
373,3047493774,1489197673,1105664.0,20,2581813.0,27,False
374,3047494477,1489197711,1520578.0,28,3258149.0,10,True
375,3047500243,1489198034,3477208.0,23,2672298.0,32,False
376,3047508602,1489198487,370775.0,0,3326875.0,14,False
377,3047560937,1489201143,2640025.0,16,3325252.0,38,False
378,3047562405,1489201215,2659468.0,10,543897.0,32,False
379,3047563899,1489201287,15.0,10,726228.0,26,False
380,3047573379,1489201746,3586078.0,17,3326875.0,22,False
381,3047588445,1489202472,2622695.0,9,2967569.0,26,False
382,3047588593,1489202479,2672298.0,26,3705786.0,12,True
383,3047637017,1489204757,2581813.0,12,3931120.0,26,False
384,3047642996,1489205029,5.0,17,2833354.0,10,True
385,3047649227,1489205311,543897.0,20,2108395.0,20,False
386,3047665194,1489206014,3331948.0,28,3325252.0,5,True
