,againstHero,games,hero,losses,shift,wins
164,37,11,10,4,15.516949569025604,7
165,64,20,104,5,15.515264160119225,15
166,69,15,31,5,15.502962092044205,10
167,112,22,84,6,15.486639525748984,16
168,2,12,39,3,15.473797666414955,9
169,74,12,103,3,15.463990000688314,9
170,73,25,107,8,15.460672720698525,17
171,62,15,94,4,15.456678982493088,11
172,49,14,25,4,15.43786379260084,10
173,100,15,2,5,15.363858490781988,10
174,41,15,84,4,15.33074063826509,11
175,104,12,94,3,15.27233865597327,9
176,93,14,46,3,15.251126640356864,11
177,109,16,98,4,15.216713921072742,12
178,54,11,77,1,15.154916790692532,10
179,71,10,29,2,15.143188317628589,8
180,78,13,47,4,15.091757543510106,9
181,77,19,50,4,15.082093464135088,15
182,34,17,20,4,15.068240557725042,13
183,104,16,79,5,15.054954882421578,11
184,38,10,93,4,15.046407356806796,6
185,25,18,99,5,15.014737107768298,13
186,45,10,75,2,15.003649946946844,8
187,13,12,22,3,14.994671319317485,9
188,16,42,94,11,14.87192057190217,31
189,110,12,28,4,14.860268273313302,8
190,87,13,38,4,14.859584047072822,9
191,15,13,76,4,14.81353391108204,9
192,102,11,35,4,14.787485364380148,7
193,72,22,51,7,14.75505634651796,15
194,32,14,106,3,14.741977351969275,11
195,100,10,31,3,14.730848989291463,7
196,7,28,77,8,14.729495105034687,20
197,7,22,57,8,14.718984574621357,14
198,114,19,83,5,14.712530964906872,14
199,17,19,78,6,14.709203332504181,13
200,55,16,19,5,14.687783547200532,11
201,27,34,109,11,14.672056456650022,23
202,50,12,99,4,14.581629542155014,8
203,80,19,50,4,14.554439051919097,15
204,73,12,37,4,14.533349572792922,8
205,38,15,97,4,14.531013843539446,11
206,34,21,57,6,14.476694715496802,15
207,34,12,25,3,14.468789684868277,9
208,80,10,76,3,14.461464881129865,7
209,73,10,2,3,14.457830254043136,7
210,63,13,35,4,14.450412261730216,9
211,44,12,5,3,14.447481002517355,9
212,97,13,35,3,14.444551731599502,10
213,80,11,14,4,14.435345395194508,7
214,108,26,70,7,14.42739364927628,19
215,100,15,81,5,14.382694095158195,10
216,40,10,83,2,14.347262135245902,8
217,26,25,86,6,14.322036756570222,19
