,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
43,19,726228.0,2912351690,32,15.0,True,1484295833,17.0,54.0,55.0,87.0,103.0,109.0,107.0,108.0,30.0,11.0,106863163.0,177416702.0,98878010.0,131237305.0,107081378.0,139280377.0,135384059.0,139937922.0,114239371.0,186977347.0,Dota 2 Asia Championships 2017
44,21,2640025.0,2912361376,8,2833354.0,False,1484296221,104.0,84.0,63.0,87.0,35.0,76.0,86.0,16.0,66.0,48.0,156662698.0,182331313.0,166458146.0,110228930.0,120374476.0,173880329.0,103940975.0,111291593.0,103039499.0,137193239.0,Dota 2 Asia Championships 2017
45,40,3547682.0,2912364435,8,2414475.0,False,1484296341,4.0,82.0,14.0,96.0,5.0,112.0,28.0,87.0,54.0,18.0,262367336.0,211284773.0,222189151.0,141065684.0,136187546.0,101695162.0,91698091.0,113800818.0,137272985.0,130416036.0,Dota 2 Asia Championships 2017
46,16,2414475.0,2912433371,34,3547682.0,True,1484299045,76.0,16.0,70.0,87.0,108.0,84.0,36.0,30.0,8.0,2.0,137272985.0,101695162.0,130416036.0,113800818.0,91698091.0,222189151.0,262367336.0,136187546.0,211284773.0,141065684.0,Dota 2 Asia Championships 2017
47,14,4.0,2912445452,32,5.0,True,1484299516,34.0,63.0,55.0,107.0,64.0,65.0,90.0,9.0,67.0,84.0,205813150.0,90892734.0,129958758.0,207829314.0,140153524.0,253962772.0,89246836.0,135878232.0,108376607.0,117990312.0,Dota 2 Asia Championships 2017
48,11,15.0,2912457483,31,726228.0,True,1484299972,107.0,96.0,87.0,82.0,54.0,8.0,84.0,48.0,86.0,16.0,135384059.0,139937922.0,114239371.0,186977347.0,139280377.0,106863163.0,131237305.0,177416702.0,107081378.0,98878010.0,Dota 2 Asia Championships 2017
49,5,4.0,2912526011,22,5.0,True,1484302623,85.0,86.0,63.0,88.0,11.0,106.0,84.0,93.0,16.0,55.0,140153524.0,207829314.0,90892734.0,129958758.0,205813150.0,135878232.0,117990312.0,108376607.0,89246836.0,253962772.0,Dota 2 Asia Championships 2017
50,31,20.0,2912548426,45,3331948.0,True,1484303445,48.0,84.0,16.0,76.0,87.0,96.0,82.0,30.0,106.0,58.0,148215639.0,89217927.0,92590479.0,90882159.0,136186119.0,140178149.0,98887913.0,104652351.0,88585077.0,88553213.0,Dota 2 Asia Championships 2017
51,7,2860081.0,2912585848,20,1520578.0,True,1484304822,70.0,47.0,28.0,30.0,63.0,54.0,87.0,11.0,96.0,84.0,186627166.0,111189717.0,138885864.0,131043881.0,89598554.0,110837826.0,89166519.0,139174891.0,157475523.0,173812218.0,Dota 2 Asia Championships 2017
52,12,2860081.0,2912669765,21,1520578.0,True,1484307693,70.0,11.0,64.0,84.0,108.0,86.0,74.0,63.0,107.0,29.0,186627166.0,111189717.0,89598554.0,131043881.0,138885864.0,89166519.0,139174891.0,110837826.0,173812218.0,157475523.0,Dota 2 Asia Championships 2017
53,13,3331948.0,2912673536,34,20.0,True,1484307806,79.0,70.0,9.0,46.0,28.0,50.0,54.0,16.0,11.0,87.0,104652351.0,98887913.0,88553213.0,88585077.0,140178149.0,136186119.0,148215639.0,92590479.0,90882159.0,89217927.0,Dota 2 Asia Championships 2017
54,20,726228.0,2913969022,9,2833354.0,False,1484355805,30.0,8.0,51.0,63.0,46.0,54.0,86.0,107.0,28.0,76.0,182331313.0,166458146.0,156662698.0,110228930.0,120374476.0,139280377.0,114239371.0,135384059.0,139937922.0,186977347.0,Dota 2 Asia Championships 2017
55,24,15.0,2913972887,13,3547682.0,False,1484356061,30.0,65.0,18.0,108.0,39.0,37.0,74.0,63.0,54.0,28.0,113800818.0,101695162.0,130416036.0,91698091.0,137272985.0,131237305.0,106863163.0,107081378.0,177416702.0,98878010.0,Dota 2 Asia Championships 2017
56,26,726228.0,2914013128,4,2833354.0,False,1484359269,46.0,64.0,55.0,54.0,16.0,70.0,96.0,111.0,11.0,28.0,120374476.0,182331313.0,156662698.0,166458146.0,110228930.0,139280377.0,139937922.0,114239371.0,186977347.0,135384059.0,Dota 2 Asia Championships 2017
57,29,3547682.0,2914026555,11,15.0,False,1484360148,88.0,50.0,85.0,46.0,106.0,54.0,37.0,11.0,28.0,96.0,98878010.0,107081378.0,131237305.0,106863163.0,177416702.0,130416036.0,113800818.0,137272985.0,101695162.0,91698091.0,Dota 2 Asia Championships 2017
58,49,20.0,2914078882,37,1520578.0,False,1484363090,86.0,48.0,102.0,76.0,108.0,98.0,42.0,35.0,79.0,9.0,89598554.0,186627166.0,131043881.0,111189717.0,138885864.0,140178149.0,98887913.0,88585077.0,104652351.0,88553213.0,Dota 2 Asia Championships 2017
59,22,4.0,2914080941,44,2860081.0,True,1484363194,65.0,107.0,86.0,54.0,46.0,20.0,6.0,28.0,80.0,63.0,157475523.0,173812218.0,89166519.0,110837826.0,139174891.0,117990312.0,89246836.0,253962772.0,135878232.0,108376607.0,Dota 2 Asia Championships 2017
60,7,3331948.0,2914098996,14,5.0,True,1484364143,79.0,48.0,23.0,11.0,51.0,8.0,37.0,104.0,30.0,39.0,140153524.0,90892734.0,207829314.0,205813150.0,129958758.0,148215639.0,136186119.0,92590479.0,89217927.0,90882159.0,Dota 2 Asia Championships 2017
61,45,2860081.0,2914143725,41,4.0,False,1484366426,84.0,28.0,98.0,68.0,99.0,29.0,80.0,86.0,87.0,104.0,108376607.0,253962772.0,135878232.0,117990312.0,89246836.0,157475523.0,110837826.0,173812218.0,89166519.0,139174891.0,Dota 2 Asia Championships 2017
62,8,3331948.0,2914169535,21,5.0,True,1484367703,86.0,85.0,11.0,63.0,104.0,82.0,8.0,55.0,62.0,87.0,207829314.0,140153524.0,205813150.0,90892734.0,129958758.0,136186119.0,148215639.0,92590479.0,89217927.0,90882159.0,Dota 2 Asia Championships 2017
63,33,1520578.0,2914193840,11,20.0,False,1484368837,49.0,62.0,70.0,79.0,38.0,106.0,54.0,87.0,63.0,96.0,88585077.0,88553213.0,98887913.0,104652351.0,140178149.0,111189717.0,186627166.0,131043881.0,89598554.0,138885864.0,Dota 2 Asia Championships 2017
64,19,15.0,2914272035,12,2833354.0,False,1484372160,32.0,54.0,96.0,87.0,17.0,98.0,84.0,86.0,55.0,11.0,110228930.0,166458146.0,156662698.0,182331313.0,120374476.0,177416702.0,131237305.0,107081378.0,98878010.0,106863163.0,Dota 2 Asia Championships 2017
65,30,726228.0,2914278717,8,2414475.0,False,1484372427,107.0,63.0,39.0,55.0,6.0,87.0,62.0,60.0,34.0,8.0,222189151.0,136187546.0,262367336.0,141065684.0,211284773.0,114239371.0,135384059.0,139937922.0,186977347.0,139280377.0,Dota 2 Asia Championships 2017
66,37,3547682.0,2914286798,13,2640025.0,False,1484372747,11.0,84.0,98.0,16.0,64.0,70.0,108.0,106.0,87.0,63.0,173880329.0,103940975.0,137193239.0,111291593.0,103039499.0,130416036.0,91698091.0,137272985.0,113800818.0,101695162.0,Dota 2 Asia Championships 2017
67,21,15.0,2914340431,21,2833354.0,False,1484374781,51.0,87.0,54.0,34.0,84.0,85.0,86.0,8.0,46.0,65.0,156662698.0,110228930.0,166458146.0,120374476.0,182331313.0,131237305.0,107081378.0,177416702.0,106863163.0,98878010.0,Dota 2 Asia Championships 2017
68,4,2414475.0,2914346387,23,726228.0,True,1484375002,87.0,48.0,8.0,88.0,65.0,63.0,9.0,73.0,79.0,2.0,114239371.0,139280377.0,186977347.0,139937922.0,135384059.0,211284773.0,136187546.0,262367336.0,222189151.0,141065684.0,Dota 2 Asia Championships 2017
69,37,3547682.0,2914388148,19,2640025.0,False,1484376512,28.0,8.0,20.0,17.0,55.0,54.0,37.0,9.0,108.0,106.0,103940975.0,137193239.0,103039499.0,173880329.0,111291593.0,130416036.0,113800818.0,101695162.0,91698091.0,137272985.0,Dota 2 Asia Championships 2017
70,36,2860081.0,2914446271,29,5.0,True,1484378531,8.0,28.0,106.0,111.0,50.0,9.0,65.0,76.0,54.0,79.0,90892734.0,129958758.0,205813150.0,207829314.0,140153524.0,173812218.0,157475523.0,139174891.0,110837826.0,89166519.0,Dota 2 Asia Championships 2017
71,30,3331948.0,2914475405,34,1520578.0,True,1484379521,54.0,87.0,16.0,39.0,110.0,15.0,3.0,106.0,86.0,51.0,186627166.0,131043881.0,138885864.0,111189717.0,89598554.0,90882159.0,89217927.0,148215639.0,136186119.0,92590479.0,Dota 2 Asia Championships 2017
72,12,20.0,2914550827,35,4.0,True,1484381992,98.0,46.0,9.0,89.0,103.0,11.0,27.0,50.0,48.0,51.0,253962772.0,135878232.0,108376607.0,89246836.0,117990312.0,88585077.0,88553213.0,104652351.0,98887913.0,140178149.0,Dota 2 Asia Championships 2017
73,23,5.0,2914586394,10,2860081.0,False,1484383146,70.0,86.0,8.0,98.0,29.0,48.0,108.0,76.0,65.0,79.0,110837826.0,89166519.0,139174891.0,173812218.0,157475523.0,90892734.0,207829314.0,205813150.0,129958758.0,140153524.0,Dota 2 Asia Championships 2017
74,23,3331948.0,2914605091,39,1520578.0,True,1484383753,50.0,88.0,43.0,16.0,70.0,84.0,8.0,90.0,63.0,65.0,131043881.0,138885864.0,111189717.0,89598554.0,186627166.0,89217927.0,90882159.0,136186119.0,148215639.0,92590479.0,Dota 2 Asia Championships 2017
75,46,20.0,2914640664,33,4.0,False,1484384916,13.0,96.0,70.0,5.0,62.0,55.0,86.0,28.0,9.0,8.0,108376607.0,253962772.0,135878232.0,89246836.0,117990312.0,140178149.0,104652351.0,88553213.0,88585077.0,98887913.0,Dota 2 Asia Championships 2017
76,37,15.0,2914725479,20,2414475.0,False,1484387687,48.0,79.0,106.0,51.0,107.0,104.0,35.0,87.0,84.0,108.0,211284773.0,136187546.0,262367336.0,141065684.0,222189151.0,177416702.0,106863163.0,107081378.0,131237305.0,98878010.0,Dota 2 Asia Championships 2017
77,29,3547682.0,2914758496,24,2833354.0,False,1484388770,23.0,48.0,106.0,79.0,51.0,107.0,93.0,108.0,87.0,34.0,182331313.0,166458146.0,120374476.0,110228930.0,156662698.0,101695162.0,130416036.0,91698091.0,113800818.0,137272985.0,Dota 2 Asia Championships 2017
78,26,726228.0,2914766868,13,2640025.0,False,1484389036,8.0,86.0,48.0,96.0,23.0,107.0,88.0,87.0,82.0,54.0,173880329.0,103039499.0,137193239.0,111291593.0,103940975.0,135384059.0,139937922.0,114239371.0,186977347.0,139280377.0,Dota 2 Asia Championships 2017
79,6,2414475.0,2914820980,29,15.0,True,1484390749,51.0,14.0,11.0,87.0,54.0,102.0,82.0,62.0,65.0,2.0,98878010.0,107081378.0,106863163.0,131237305.0,177416702.0,136187546.0,211284773.0,222189151.0,262367336.0,141065684.0,Dota 2 Asia Championships 2017
80,20,2640025.0,2914862113,22,726228.0,False,1484392023,54.0,65.0,51.0,86.0,11.0,104.0,16.0,55.0,20.0,48.0,139280377.0,135384059.0,139937922.0,114239371.0,186977347.0,173880329.0,103940975.0,103039499.0,111291593.0,137193239.0,Dota 2 Asia Championships 2017
81,8,2833354.0,2914925862,29,3547682.0,True,1484393878,28.0,75.0,11.0,96.0,54.0,61.0,50.0,39.0,8.0,16.0,101695162.0,113800818.0,137272985.0,91698091.0,130416036.0,156662698.0,182331313.0,120374476.0,166458146.0,110228930.0,Dota 2 Asia Championships 2017
82,18,726228.0,2916408371,22,1520578.0,True,1484445534,63.0,49.0,50.0,54.0,16.0,96.0,39.0,30.0,48.0,107.0,89598554.0,111189717.0,131043881.0,186627166.0,138885864.0,139937922.0,186977347.0,114239371.0,139280377.0,135384059.0,Dota 2 Asia Championships 2017
83,15,2640025.0,2916414858,26,3331948.0,True,1484445896,16.0,98.0,48.0,88.0,79.0,76.0,108.0,63.0,18.0,86.0,136186119.0,90882159.0,148215639.0,92590479.0,89217927.0,173880329.0,111291593.0,103940975.0,137193239.0,103039499.0,Dota 2 Asia Championships 2017
84,21,726228.0,2916481440,6,1520578.0,False,1484449317,84.0,37.0,54.0,106.0,96.0,65.0,86.0,70.0,108.0,8.0,131043881.0,89598554.0,186627166.0,111189717.0,138885864.0,135384059.0,114239371.0,139280377.0,139937922.0,186977347.0,Dota 2 Asia Championships 2017
85,11,3331948.0,2916492126,23,2640025.0,True,1484449829,98.0,30.0,93.0,55.0,16.0,86.0,8.0,85.0,108.0,49.0,173880329.0,103039499.0,137193239.0,111291593.0,103940975.0,136186119.0,148215639.0,89217927.0,92590479.0,90882159.0,Dota 2 Asia Championships 2017
86,7,726228.0,2916542897,18,1520578.0,True,1484452220,86.0,8.0,108.0,76.0,23.0,28.0,90.0,96.0,82.0,54.0,131043881.0,186627166.0,138885864.0,111189717.0,89598554.0,135384059.0,114239371.0,139937922.0,186977347.0,139280377.0,Dota 2 Asia Championships 2017
87,20,2640025.0,2916552825,27,3331948.0,True,1484452675,23.0,108.0,48.0,86.0,11.0,16.0,98.0,75.0,106.0,55.0,89217927.0,92590479.0,148215639.0,136186119.0,90882159.0,103940975.0,137193239.0,103039499.0,173880329.0,111291593.0,Dota 2 Asia Championships 2017
88,15,2640025.0,2916674017,32,726228.0,True,1484457783,96.0,23.0,86.0,48.0,76.0,65.0,30.0,11.0,106.0,16.0,139937922.0,135384059.0,114239371.0,139280377.0,186977347.0,111291593.0,103039499.0,173880329.0,137193239.0,103940975.0,Dota 2 Asia Championships 2017
89,25,3331948.0,2916680574,10,1520578.0,False,1484458030,50.0,41.0,63.0,16.0,43.0,54.0,28.0,88.0,86.0,94.0,131043881.0,186627166.0,89598554.0,138885864.0,111189717.0,148215639.0,89217927.0,92590479.0,136186119.0,90882159.0,Dota 2 Asia Championships 2017
90,9,726228.0,2916745666,26,2640025.0,True,1484460422,32.0,20.0,16.0,17.0,54.0,63.0,49.0,86.0,65.0,48.0,103940975.0,103039499.0,111291593.0,173880329.0,137193239.0,135384059.0,186977347.0,114239371.0,139937922.0,139280377.0,Dota 2 Asia Championships 2017
