,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
824,4.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,3148721353
825,4.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,3149054430
826,3.0,1.0,3.0,3.0,5.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3149215336
827,5.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,3149353238
828,4.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,3149480550
829,4.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,5.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,3149572447
830,3.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,3160555127
831,4.0,4.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,3160695265
832,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,3161689588
833,3.0,4.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,3161782355
834,4.0,5.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3161837859
835,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,2.0,3161895850
