,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
250,27.0,Mid or Feed,0.0,OG,62,38,7,30,46,20,79,48,88,13,98,0
252,8.0,Vega Squadron,3.0,Effect,46,3,84,20,47,2,86,71,97,44,34,0
256,57.0,mousesports,10.0,HellRaisers,52,62,27,39,65,10,107,37,7,92,1,0
257,27.0,Mid or Feed,0.0,OG,53,78,75,17,54,26,112,85,16,106,48,0
259,13.0,OpTic Gaming,31.0,compLexity Gaming,32,112,60,95,98,97,53,16,23,9,52,0
262,17.0,Natus Vincere,3.0,Effect,46,86,68,15,96,36,91,107,47,78,81,1
263,13.0,OpTic Gaming,31.0,compLexity Gaming,46,112,17,86,88,44,53,16,26,43,80,1
266,17.0,Natus Vincere,3.0,Effect,69,112,107,51,39,12,38,101,71,63,17,1
267,13.0,OpTic Gaming,31.0,compLexity Gaming,43,86,17,58,78,57,23,16,68,81,15,0
270,14.0,Evil Geniuses,2.0,Digital Chaos,39,89,9,101,43,41,13,84,86,19,53,1
274,14.0,Evil Geniuses,2.0,Digital Chaos,44,60,58,29,94,72,38,84,54,28,35,1
275,54.0,SG e-sports team,22.0,Sacred,54,31,28,54,39,104,107,53,66,52,15,0
276,22.0,Sacred,54.0,SG e-sports team,50,31,51,63,17,41,16,64,53,4,106,1
277,13.0,OpTic Gaming,2.0,Digital Chaos,39,38,51,87,47,19,30,7,39,44,29,0
278,12.0,Newbee,15.0,VGJ Thunder,58,84,13,107,78,12,3,16,40,41,74,1
279,45.0,Sun Gaming,85.0,CDEC.Avenger,62,51,65,5,17,18,86,13,63,7,9,1
280,15.0,VGJ Thunder,12.0,Newbee,42,39,7,6,26,49,13,107,92,44,43,0
281,85.0,CDEC.Avenger,45.0,Sun Gaming,49,86,16,109,108,101,107,112,38,41,35,0
282,6.0,Mineski.???,7.0,Fnatic,73,7,63,84,89,17,85,78,26,28,34,1
283,12.0,Newbee,4.0,LGD.Forever Young,51,107,111,72,29,46,16,68,53,54,98,0
284,6.0,Mineski.???,7.0,Fnatic,44,3,51,13,98,18,7,86,14,63,76,1
285,4.0,LGD.Forever Young,12.0,Newbee,33,112,86,70,29,17,84,57,20,58,49,1
286,85.0,CDEC.Avenger,47.0,Newbee.Young,41,78,13,16,80,85,53,71,4,86,17,1
287,6.0,Mineski.???,7.0,Fnatic,62,84,100,87,39,54,51,75,9,19,44,0
288,12.0,Newbee,4.0,LGD.Forever Young,34,16,50,13,54,94,38,28,20,26,46,1
289,47.0,Newbee.Young,85.0,CDEC.Avenger,43,62,16,64,12,4,107,39,78,30,18,1
290,4.0,LGD.Forever Young,12.0,Newbee,39,107,77,20,29,50,43,111,28,78,98,0
291,6.0,Mineski.???,7.0,Fnatic,31,3,16,18,17,92,51,87,78,34,94,0
292,12.0,Newbee,4.0,LGD.Forever Young,63,43,112,16,69,72,75,107,104,18,68,0
294,7.0,Fnatic,6.0,Mineski.???,48,112,51,57,34,54,78,64,16,20,94,1
295,22.0,Sacred,52.0,Infamous,29,31,53,86,39,15,84,57,26,44,13,1
298,22.0,Sacred,52.0,Infamous,55,13,51,30,104,48,26,85,16,8,47,0
300,52.0,Infamous,22.0,Sacred,43,3,7,38,70,9,71,68,41,75,76,1
302,21.0,Team Empire,17.0,Natus Vincere,68,38,47,87,51,1,107,78,30,15,81,1
303,14.0,Evil Geniuses,31.0,compLexity Gaming,40,85,86,25,13,56,68,16,47,23,46,0
304,52.0,Infamous,54.0,SG e-sports team,66,28,9,27,16,109,84,13,86,20,74,0
305,14.0,Evil Geniuses,31.0,compLexity Gaming,52,86,84,13,72,43,16,23,112,92,35,1
306,17.0,Natus Vincere,21.0,Team Empire,75,38,30,51,11,12,107,78,47,86,72,1
308,52.0,Infamous,54.0,SG e-sports team,57,28,39,27,46,20,51,68,13,16,81,1
310,14.0,Evil Geniuses,31.0,compLexity Gaming,40,86,13,58,19,94,16,68,85,81,9,1
311,52.0,Infamous,54.0,SG e-sports team,52,13,28,50,78,81,85,26,57,4,70,1
312,31.0,compLexity Gaming,2.0,Digital Chaos,28,20,64,13,18,25,53,28,50,43,72,1
313,52.0,Infamous,22.0,Sacred,64,112,51,25,8,7,78,85,39,87,80,0
314,2.0,Digital Chaos,31.0,compLexity Gaming,47,112,51,38,94,17,64,23,19,91,2,0
315,22.0,Sacred,52.0,Infamous,57,68,107,16,81,46,51,86,13,8,97,1
316,14.0,Evil Geniuses,31.0,compLexity Gaming,40,84,19,68,29,39,38,112,43,100,67,1
317,52.0,Infamous,22.0,Sacred,55,112,53,28,46,54,68,7,1,13,106,1
318,14.0,Evil Geniuses,31.0,compLexity Gaming,42,64,83,15,65,42,13,84,112,48,102,1
319,22.0,Sacred,52.0,Infamous,58,7,90,57,93,106,26,13,16,15,2,1
325,41.0,Happy Feet,39.0,Execration,98,112,40,107,114,39,19,13,86,98,1,0
326,47.0,Newbee.Young,24.0,Eclipse,70,107,87,43,72,108,69,13,84,112,94,1
330,39.0,Execration,41.0,Happy Feet,75,57,39,3,28,67,107,31,47,16,73,0
332,24.0,Eclipse,47.0,Newbee.Young,48,78,85,87,43,36,79,9,16,108,34,0
334,39.0,Execration,41.0,Happy Feet,60,78,31,16,54,43,60,107,86,8,9,1
336,39.0,Execration,6.0,Mineski.???,68,107,78,64,109,43,88,3,96,54,35,1
