,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
206,,CIS-Game,,DK,0,27,68,54,65,7,74,89,63,13,62,0
207,,TongFu.WanZhou,,Dream time.,0,73,87,55,99,54,65,68,86,69,17,1
208,5.0,LGD-GAMING,,DK,0,68,54,96,47,50,73,17,55,87,74,0
209,17.0,Natus Vincere,21.0,Team Empire,0,88,106,33,65,9,68,69,86,98,56,0
210,,Alliance,,Radical Online X-tremists,0,106,83,63,77,3,50,74,53,31,55,1
211,,_PowerRangers,,TheRerereTRY,0,50,96,89,17,10,88,68,27,72,13,1
212,,Radical Online X-tremists,,Alliance,0,9,83,3,66,93,106,53,79,51,54,0
213,17.0,Natus Vincere,21.0,Team Empire,0,69,40,53,13,67,92,65,86,27,34,0
214,,SIGMA.int,7.0,Fnatic,0,91,19,65,26,39,106,3,83,27,93,0
215,,SIGMA.int,7.0,Fnatic,0,106,65,27,53,97,92,3,28,66,77,0
216,17.0,Natus Vincere,,Radical Online X-tremists,0,69,27,83,102,96,3,9,43,65,11,1
217,,MVP HOTSIX,,Ing-ing-inG,0,68,74,63,48,49,40,16,99,53,86,1
218,5.0,LGD-GAMING,,TongFu.WanZhou,0,73,68,51,103,17,40,27,49,86,35,1
219,,Dream time.,,CIS-Game,0,89,9,54,10,3,65,66,15,98,21,1
220,,NoProblem.kr,,MVP Phoenix,0,56,5,69,86,13,106,68,65,28,20,0
221,,DK,11.0,Vici Gaming,0,53,68,17,96,46,77,27,87,54,86,1
222,,Birdgang,,Monkey Spanner,0,68,51,40,42,9,88,27,106,56,49,1
223,12.0,Newbee,23.0,Invictus Gaming,0,27,51,68,9,55,77,86,69,49,70,0
224,,xGame.kz,18.0,Virtus.pro,0,68,53,26,63,7,50,17,88,77,49,0
225,,xGame.kz,,TheRerereTRY,0,50,28,79,17,7,68,51,9,13,63,0
226,,Ahead.,,"Relax, you are doing fine.",0,69,51,31,49,7,68,98,45,3,72,0
