,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3673107545,21,8,ESL One Katowice 2018 powered by Intel,9633,MEGA-LADA E-sports,,Vega Squadron,8.0,18,24,0,100,69,78,107,58,19,27,51,61,70,66,13,16,64,30,62,39,57,94,15,104,114,0
0,3673114744,21,8,PGL BUCHAREST MAJOR 2018,9584,M19,34.0,Suicide Team,,15,6,0,3,57,19,100,58,103,60,30,69,27,72,51,61,65,66,13,77,18,102,47,108,15,1
0,3673116079,21,5,SL i-League Invitational Season 4,9579,Geek Fam,24.0,Mineski.???,6.0,24,29,1,69,19,58,15,88,60,51,27,11,34,77,67,62,28,107,41,78,57,87,48,101,1,0
0,3673116420,21,8,PGL BUCHAREST MAJOR 2018,9584,Effect,3.0,HunkysFromZavod,,28,15,0,60,3,30,100,51,19,27,62,78,72,16,11,102,15,87,71,43,57,39,114,94,109,1
0,3673196949,21,8,PGL BUCHAREST MAJOR 2018,9584,Suicide Team,,M19,34.0,31,16,0,51,69,60,58,19,66,3,30,107,100,65,102,12,77,55,8,15,34,78,17,96,41,1
0,3673209217,21,8,ESL One Katowice 2018 powered by Intel,9633,Vega Squadron,8.0,MEGA-LADA E-sports,,19,9,0,69,58,107,78,57,13,100,19,27,64,80,77,15,62,60,29,102,76,56,63,54,8,1
0,3673216575,21,8,PGL BUCHAREST MAJOR 2018,9584,HunkysFromZavod,,Effect,3.0,21,10,0,16,30,27,51,58,100,3,60,77,57,11,86,18,78,50,103,69,81,76,94,17,19,1
0,3673233182,21,5,PGL BUCHAREST MAJOR 2018,9584,Execration,39.0,Fnatic,7.0,15,33,0,60,100,62,57,19,51,27,69,88,109,103,34,12,65,64,28,15,11,38,39,96,76,0
0,3673296002,21,8,PGL BUCHAREST MAJOR 2018,9584,Suicide Team,,M19,34.0,32,10,0,51,66,19,69,3,58,100,30,60,27,77,41,12,61,65,13,39,54,49,109,94,1,1
0,3673304751,21,8,PGL BUCHAREST MAJOR 2018,9584,HunkysFromZavod,,Effect,3.0,21,29,0,77,30,16,60,27,3,100,19,87,43,57,39,78,15,51,86,11,54,29,12,2,113,0
0,3673313769,21,3,PGL BUCHAREST MAJOR 2018,9584,PENTA Sports,38.0,OG,0.0,14,26,0,54,19,102,27,109,66,100,3,16,50,47,57,43,78,77,12,29,13,98,23,49,72,0
0,3673316176,21,3,PGL BUCHAREST MAJOR 2018,9584,Planet Dog 2.0,,Team Singularity,46.0,22,13,1,19,100,51,103,3,60,27,79,16,13,94,77,61,48,49,85,72,76,8,88,80,65,1
0,3673347054,21,10,ESL One Katowice 2018 powered by Intel,9633,Thunder Awaken,,SG e-sports team,54.0,10,20,0,75,103,100,16,48,62,60,66,27,30,72,77,65,49,51,11,81,61,108,46,78,104,0
0,3673395323,21,8,ESL One Katowice 2018 powered by Intel,9633,Team. Spirit,20.0,Effect,3.0,30,24,0,81,100,51,86,30,3,16,19,27,54,49,15,43,57,107,87,72,11,104,61,78,8,1
