,radiant_win,Disabler_radiant,Disabler_dire,Nuker_radiant,Nuker_dire,Carry_radiant,Carry_dire,Initiator_radiant,Initiator_dire,Escape_radiant,Escape_dire,Durable_radiant,Durable_dire,Support_radiant,Support_dire,Pusher_radiant,Pusher_dire,Jungler_radiant,Jungler_dire
4598,1,4,3,4,3,2,2,5,1,1,0.0,4,1.0,1,3.0,0,1.0,1,1.0
4599,1,5,3,3,4,2,2,4,1,2,2.0,3,0.0,1,2.0,1,1.0,0,0.0
4600,0,1,3,3,5,3,1,1,3,2,2.0,3,1.0,1,2.0,1,1.0,1,0.0
4601,0,5,3,3,3,3,2,3,2,2,2.0,1,2.0,2,2.0,3,0.0,1,0.0
4602,1,4,5,4,3,3,1,3,3,2,1.0,2,1.0,2,3.0,0,0.0,0,1.0
4603,0,3,3,3,5,2,2,3,2,1,1.0,0,1.0,2,1.0,4,0.0,1,0.0
4604,0,3,5,3,4,2,2,2,3,2,4.0,0,1.0,2,3.0,3,0.0,1,0.0
4605,1,1,4,2,5,3,2,1,3,3,0.0,0,2.0,1,3.0,2,1.0,2,1.0
4606,0,3,5,4,4,2,2,2,3,1,3.0,0,1.0,3,1.0,1,1.0,0,1.0
4607,1,4,5,5,3,1,3,2,4,2,2.0,0,3.0,3,2.0,0,1.0,1,0.0
4608,1,5,4,4,4,1,2,4,2,4,2.0,0,1.0,2,2.0,0,1.0,1,0.0
4609,0,3,5,4,4,3,4,3,4,2,2.0,1,2.0,2,2.0,0,0.0,1,0.0
4610,1,3,3,5,3,3,2,3,0,0,1.0,3,2.0,1,3.0,1,2.0,0,1.0
4611,0,4,4,2,3,1,1,3,4,2,3.0,1,1.0,2,3.0,1,1.0,2,1.0
4612,1,1,3,4,4,2,2,2,2,0,2.0,1,1.0,2,2.0,1,1.0,1,1.0
4613,0,5,4,2,4,2,2,2,3,1,2.0,4,2.0,2,2.0,1,0.0,0,0.0
4614,1,3,4,5,3,2,2,2,2,3,1.0,1,2.0,1,2.0,1,1.0,0,0.0
4615,1,4,3,4,4,3,2,2,2,4,1.0,1,2.0,1,3.0,1,2.0,0,0.0
4616,0,3,4,2,3,2,1,2,3,1,1.0,1,2.0,2,1.0,1,1.0,2,1.0
4617,0,3,4,2,4,3,2,2,3,3,2.0,1,1.0,1,3.0,0,1.0,1,0.0
4618,1,5,3,5,4,1,4,3,1,0,3.0,2,1.0,3,1.0,0,1.0,0,0.0
4619,0,1,3,4,4,2,2,0,2,1,2.0,1,1.0,2,1.0,2,1.0,1,1.0
4620,1,4,4,3,5,3,1,4,3,1,1.0,3,2.0,1,4.0,2,1.0,2,0.0
4621,1,2,5,2,3,3,3,3,1,0,0.0,3,2.0,2,3.0,1,1.0,1,0.0
4622,0,2,3,5,2,4,1,3,2,2,1.0,2,1.0,1,2.0,1,2.0,0,2.0
4623,0,5,5,3,4,2,1,4,3,4,0.0,1,2.0,1,3.0,0,1.0,1,0.0
4624,0,4,4,3,2,2,1,4,3,0,2.0,2,1.0,2,2.0,0,1.0,1,2.0
4625,1,3,5,3,3,2,2,2,1,2,1.0,1,2.0,1,4.0,0,3.0,1,1.0
4626,0,4,4,2,5,3,2,3,4,2,3.0,1,1.0,1,2.0,1,0.0,2,0.0
4627,0,4,4,4,4,2,1,1,4,2,4.0,0,1.0,3,1.0,1,1.0,1,1.0
4628,1,4,3,2,4,2,3,3,3,3,3.0,1,2.0,3,1.0,1,2.0,1,0.0
4629,0,5,3,2,4,1,2,4,2,1,3.0,2,2.0,2,2.0,1,1.0,1,0.0
4630,0,3,4,5,3,3,0,2,3,1,2.0,2,1.0,1,2.0,1,1.0,0,2.0
