,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
57,35,350190.0,3840225403,24,3659536.0,False,1524132128,112.0,51.0,1.0,43.0,16.0,28.0,11.0,119.0,10.0,55.0,76600360.0,92253768.0,126417273.0,142139318.0,27178898.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,GESC: Thailand
58,17,3659536.0,3840323490,37,350190.0,True,1524136975,87.0,12.0,107.0,43.0,108.0,30.0,16.0,57.0,72.0,76.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,76600360.0,92253768.0,27178898.0,142139318.0,126417273.0,GESC: Thailand
59,38,5229049.0,3840773736,17,5039050.0,False,1524153926,100.0,119.0,95.0,61.0,108.0,30.0,76.0,54.0,69.0,16.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,4281729.0,86738694.0,95430068.0,86953414.0,169025618.0,GESC: Thailand
60,31,5039050.0,3840888863,53,5229049.0,True,1524158732,30.0,22.0,15.0,69.0,65.0,100.0,90.0,109.0,12.0,38.0,4281729.0,86738694.0,95430068.0,86953414.0,169025618.0,57516313.0,26356855.0,121769650.0,62533910.0,92367063.0,GESC: Thailand
61,21,350190.0,3841477011,15,2108395.0,False,1524204092,53.0,28.0,11.0,44.0,60.0,52.0,49.0,16.0,81.0,38.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,GESC: Thailand
62,21,350190.0,3841543396,28,2108395.0,True,1524208246,52.0,107.0,76.0,77.0,29.0,109.0,47.0,51.0,37.0,13.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,GESC: Thailand
63,12,2108395.0,3841621187,26,350190.0,True,1524212559,37.0,49.0,16.0,12.0,55.0,86.0,119.0,8.0,19.0,65.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,184950344.0,155494381.0,132309493.0,164532005.0,187619311.0,GESC: Thailand
64,18,3586078.0,3841665963,26,3785359.0,True,1524214905,28.0,52.0,57.0,12.0,86.0,16.0,39.0,110.0,71.0,43.0,237325411.0,156328257.0,131330953.0,389033587.0,152859296.0,138857296.0,110759067.0,101259972.0,145335241.0,113435203.0,ESL One Birmingham 2018 powered by Intel
65,31,350190.0,3841687852,17,2108395.0,False,1524216065,26.0,100.0,76.0,95.0,55.0,52.0,12.0,119.0,80.0,38.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,GESC: Thailand
66,24,3586078.0,3841740022,32,3785359.0,True,1524218809,52.0,72.0,16.0,92.0,62.0,13.0,15.0,22.0,71.0,45.0,237325411.0,156328257.0,131330953.0,389033587.0,152859296.0,138857296.0,110759067.0,101259972.0,145335241.0,113435203.0,ESL One Birmingham 2018 powered by Intel
67,6,5590053.0,3841741234,14,2621843.0,True,1524218872,79.0,77.0,108.0,119.0,25.0,26.0,57.0,43.0,48.0,100.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,90125566.0,96196828.0,11865327.0,113995822.0,295697470.0,ESL One Birmingham 2018 powered by Intel
68,29,2621843.0,3841796205,36,5590053.0,True,1524221581,64.0,57.0,100.0,95.0,52.0,79.0,54.0,19.0,86.0,25.0,90125566.0,96196828.0,295697470.0,113995822.0,11865327.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,ESL One Birmingham 2018 powered by Intel
69,22,5590053.0,3841893562,37,2621843.0,True,1524225817,64.0,41.0,19.0,100.0,39.0,30.0,102.0,47.0,103.0,72.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,90125566.0,96196828.0,11865327.0,295697470.0,113995822.0,ESL One Birmingham 2018 powered by Intel
