"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win"
3250750801,1497533905,3923284,27,4592275,10,true
3250770702,1497534391,726228,38,4251435,39,false
3250773538,1497534460,1375614,39,2640025,26,true
3250809289,1497535346,4593831,39,4328182,23,true
3250815244,1497535491,1964407,21,4370100,26,false
3250846636,1497536258,4425117,22,2533075,44,false
3250888641,1497537317,4592275,19,3923284,55,false
3250913598,1497537948,2860369,21,4278602,26,false
3250945491,1497538759,992217,39,3927252,32,true
3250984139,1497539759,4328182,35,4593831,43,false
3251022925,1497540794,464103,7,4425117,29,false
3251135478,1497544491,4425117,27,464103,26,true
3251182663,1497546117,36,21,3547682,22,true
3251289672,1497549931,3547682,17,36,32,false
3251293981,1497550080,4425117,15,4186376,24,false
3251373019,1497553083,4425117,22,4186376,9,true
3251406866,1497554761,2512249,14,1838315,18,false
3251443798,1497556433,4186376,37,4425117,49,false
3251500957,1497559082,1838315,12,2512249,40,false
3251572084,1497562844,1838315,32,2512249,6,true
3251652729,1497568021,1838315,27,36,6,true
3251694636,1497571149,36,5,1838315,38,false
3251854618,1497581409,2672298,5,2108395,19,false
3251865387,1497581992,3725701,5,26,2,false
3251899470,1497583848,3725701,14,26,28,false
3251940945,1497586035,2640025,33,2108395,6,true
3251976811,1497588069,26,10,726228,35,false
3252000365,1497589246,2108395,28,2640025,28,true
3252065577,1497592228,726228,20,26,32,false
3252088490,1497593198,2108395,40,2640025,22,true
3252171519,1497596544,26,26,726228,11,true
3252443327,1497606004,2108395,52,26,32,true
3252663741,1497613049,2108395,27,26,32,true
3252995512,1497621540,3152713,23,4328182,5,true
3253006825,1497621804,464103,34,2537636,23,true
3253125103,1497624596,3510168,34,4278602,46,false
3253154854,1497625286,2860369,29,4287944,21,true
3253191134,1497626151,464103,36,2537636,14,true
3253422934,1497632471,46,13,3214108,28,false
3253547579,1497636480,46,30,3214108,10,true
3253659188,1497640498,46,32,3214108,45,false
3253812229,1497647371,2512249,33,3547682,11,true
3253877086,1497651220,2512249,23,3547682,9,true
3253944288,1497655391,1838315,16,15,3,true
3253996038,1497658862,15,26,1838315,27,false
3254189317,1497669626,1375614,16,4251435,35,false
3254314244,1497674777,4251435,7,1375614,28,false
3254426673,1497678766,4251435,15,1375614,23,false
3254647745,1497685727,2108395,44,4251435,20,true
3254828299,1497690915,2108395,24,4251435,41,false
3255003447,1497696111,2108395,7,4251435,24,false
3255561915,1497710139,3927252,30,2860369,18,true
3255901893,1497718680,36,10,3214108,37,false
3255993998,1497721266,4593831,38,4425117,18,true
3256030495,1497722390,36,11,3214108,39,false
3256134112,1497725812,4425117,23,4593831,48,false
3256168980,1497727032,2512249,7,1883502,29,false
3256260474,1497730551,2512249,22,1883502,8,true
3256343383,1497734167,2512249,15,1883502,25,false
3256432686,1497738693,1883502,21,3214108,18,true
3256489256,1497742040,1883502,34,3214108,34,true
3256744713,1497755539,4251435,15,1375614,20,false
3256853810,1497760039,1375614,26,4251435,22,true
3257003401,1497765368,4251435,19,1375614,19,false
3258100690,1497795486,2790766,29,3704482,47,false
3258113617,1497795802,2860369,7,4369633,22,false
3258209459,1497798234,2790766,28,3704482,19,true
3258331378,1497801606,2790766,12,3704482,34,false
3258445124,1497805168,1883502,50,15,47,true
3258555700,1497809039,2564834,20,4592777,32,false
3258613234,1497811193,15,12,1883502,39,false
3258737947,1497816338,1838315,36,1883502,11,true
3258808791,1497819768,4151852,25,1905619,11,true
3258835977,1497821194,1883502,37,1838315,24,true
3258859593,1497822538,4151852,48,1905619,24,true
3258915301,1497826012,1838315,29,1883502,35,false
3258970732,1497829973,1838315,25,1883502,4,true
3259012549,1497833020,1838315,11,1883502,25,false
3259014524,1497833158,3922738,30,4469196,10,true
3259050996,1497835697,4469196,29,3922738,20,false
3260200523,1497879433,,27,4540154,15,true
3260317286,1497882375,4540154,3,24,29,false
3260420579,1497885120,4186376,24,464103,35,false
3260426183,1497885273,1732138,40,4538572,28,true
3260568429,1497889550,4370100,43,4592777,18,true
3260639017,1497891962,3886945,30,,35,false
3260683852,1497893548,2790766,29,4370100,43,false
3260732358,1497895358,4425117,4,4593831,31,false
3260786180,1497897411,,29,3886945,9,true
3260790960,1497897598,464103,27,3152713,18,true
3260819879,1497898757,4593831,11,4425117,23,false
3260908794,1497902544,4593831,16,4425117,21,false
3260982891,1497906184,4646795,27,1905619,33,false
3261050087,1497910054,1905619,29,3747060,14,true
3261161172,1497918631,4469196,41,4425718,27,true
3261206395,1497921854,4469196,46,4425718,56,false
3261269778,1497925766,4469196,37,4425718,44,true
3262335211,1497966327,3655754,29,4593608,28,true
3262497994,1497970606,,18,3655754,27,false
3262508932,1497970912,4100699,29,3704482,19,true
3262535072,1497971645,464103,25,4425117,25,true
3262625880,1497974411,3704482,46,4100699,35,true
3262731650,1497977936,4370100,16,464103,32,false
3262752411,1497978670,4187910,40,3214090,43,true
3262775014,1497979482,3704482,36,4100699,36,false
3262836774,1497981818,464103,48,4370100,24,true
3262902724,1497984424,4100699,20,3704482,17,true
3262909408,1497984700,3214090,14,4187910,25,false
3263101613,1497993681,4151852,14,3922738,44,false
3263151485,1497997134,4151852,7,3922738,26,false
3263237743,1498004853,1905619,43,4469196,46,true
3263303416,1498009623,4469196,32,1905619,20,true
3263355955,1498012757,1905619,29,4469196,11,true
3264475193,1498053843,4593831,39,3704482,32,true
3264476520,1498053877,2710805,28,,12,true
3264589149,1498056864,2099268,38,2860369,39,true
3264599208,1498057144,,12,2710805,28,false
3264666466,1498059090,4593831,29,3704482,31,false
3264795254,1498063275,4593831,18,3704482,30,false
3265163507,1498079124,4151852,26,1905619,15,true
3265214902,1498082193,1905619,27,4151852,10,true
3265251425,1498084414,1905619,41,4151852,15,true
3267228521,1498165431,1905619,9,3922738,18,false
3267281734,1498168967,1905619,36,3922738,25,true
3267333434,1498172816,3922738,35,1905619,40,false
3267398228,1498177854,1905619,17,3922738,30,false
3272945646,1498389106,2462432,13,1979704,36,false
3272973484,1498389932,,28,,48,false
3273459565,1498402941,3340857,24,2863833,40,false
