,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2,match_id
3633,1898.8996609108117,1676.4673523455954,1587.3032232702612,88.9729234260865,1781.1821155875646,50.740792869858495,1654.3301334129183,1628.78086048171,1862.9284667693519,1640.866745930114,1488.3119559200545,88.82468833569516,1754.3166806173642,43.19230013217205,1646.3359302869342,1639.6801254226275,3719837735
3634,1763.133501283292,1290.9985935110994,860.11768413242,188.85396310887705,1677.5491206438403,86.52425291419401,1461.2384883583552,1439.1028024988352,1912.9574592360411,1719.9671682016317,1685.640932755023,77.19611641376379,1858.2267095909253,39.32881438998656,1759.904673615959,1766.7399771612731,3719839932
3635,1316.6291550245105,739.4293919720103,0.0,230.8799052210001,1310.9445229473793,204.90823940211774,798.6739244420849,0.0,1870.685870672222,1618.9093883320056,1485.4015443351852,100.71059293608657,1808.6285208051067,45.888447489624824,1693.9074020810447,1688.0426100470602,3719853924
3636,1715.3378510587975,1341.7515478947678,1157.1542966231568,149.43452126561186,1627.2354704270067,94.05228454030261,1392.1047590762503,1332.2314929721954,1790.9454662305695,1535.4734938990155,1440.2071212597261,102.18878893262166,1757.2524882897333,52.6308607551089,1625.675336401961,1623.1212123669707,3719858828
3637,2012.6376868868977,1827.251840570539,1796.010713813312,74.15433852654354,1886.3014881911695,38.406187427744456,1790.2860196218085,1784.5836258578056,1731.8049637213887,1440.5107565990177,1189.5874590011986,116.5176828489484,1678.8316305396277,72.41943589669405,1497.7830407978925,1478.280458506174,3719907365
3638,2059.196033526578,1903.8060929452492,1851.3153349672818,62.1559762325315,1929.1398150735201,39.65656351520204,1829.998406285515,1811.3758174987954,1688.761600556318,1092.7023523667149,0.0,238.42369927584127,1563.3594619924331,192.04559702446053,1083.245469431282,0.0,3719936011
3639,1544.2255052825321,1197.8739291374466,1130.8271552421597,138.54063045803426,1730.8789560901494,54.93310520330116,1593.5461930818965,1628.9046341913893,1597.7985066850567,1256.1246386778162,954.3610669267871,136.66954720289627,1565.9902775039427,101.23672799343709,1312.89845752035,1217.7417107975566,3719944756
3640,1935.9890799965858,1647.7830215519134,1440.1831054586762,115.28242337786891,1803.627752484012,47.330368840304615,1685.3018303832505,1661.4825120923228,1790.9454662305695,1535.4734938990155,1440.2071212597261,102.18878893262166,1757.2524882897333,52.6308607551089,1625.675336401961,1623.1212123669707,3719944922
3641,1731.8049637213887,1440.5107565990177,1189.5874590011986,116.5176828489484,1678.8316305396277,72.41943589669405,1497.7830407978925,1478.280458506174,2012.6376868868977,1827.251840570539,1796.010713813312,74.15433852654354,1886.3014881911695,38.406187427744456,1790.2860196218085,1784.5836258578056,3719995059
3642,1597.7985066850567,1256.1246386778162,954.3610669267871,136.66954720289627,1565.9902775039427,101.23672799343709,1312.89845752035,1217.7417107975566,1544.2255052825321,1197.8739291374466,1130.8271552421597,138.54063045803426,1730.8789560901494,54.93310520330116,1593.5461930818965,1628.9046341913893,3720035210
3643,1688.761600556318,1092.7023523667149,0.0,238.42369927584127,1563.3594619924331,192.04559702446053,1083.245469431282,0.0,2059.196033526578,1903.8060929452492,1851.3153349672818,62.1559762325315,1929.1398150735201,39.65656351520204,1829.998406285515,1811.3758174987954,3720047617
3644,1731.8049637213887,1440.5107565990177,1189.5874590011986,116.5176828489484,1678.8316305396277,72.41943589669405,1497.7830407978925,1478.280458506174,2012.6376868868977,1827.251840570539,1796.010713813312,74.15433852654354,1886.3014881911695,38.406187427744456,1790.2860196218085,1784.5836258578056,3720100931
3645,2059.196033526578,1903.8060929452492,1851.3153349672818,62.1559762325315,1929.1398150735201,39.65656351520204,1829.998406285515,1811.3758174987954,1862.9284667693519,1640.866745930114,1488.3119559200545,88.82468833569516,1754.3166806173642,43.19230013217205,1646.3359302869342,1639.6801254226275,3720176854
3646,1731.8049637213887,1440.5107565990177,1189.5874590011986,116.5176828489484,1678.8316305396277,72.41943589669405,1497.7830407978925,1478.280458506174,1912.9574592360411,1719.9671682016317,1685.640932755023,77.19611641376379,1858.2267095909253,39.32881438998656,1759.904673615959,1766.7399771612731,3720231023
